M0R0V0_CC_SEQ,18,12
M0R0V1_CC_SNG,15,15
M0R1V0_CC_SEQ,25,5
M0R1V1_CC_SNG,25,5
M0R2V0_CC_SEQ,22,8
M0R2V1_CC_SNG,25,5
M1R0V0_CCC,14,16
M1R0V1_DEFAULT,16,14
M1R1V0_CCC,19,11
M1R1V1_DEFAULT,22,8
M1R2V0_CCC,2,28
M1R2V1_DEFAULT,0,30
M2R0V0_RNG,25,5
M2R0V1_DEC,28,2
M2R1V0_RNG,23,7
M2R1V1_DEC,20,10
M2R2V0_RNG,24,6
M2R2V1_DEC,21,9
M3R0V0_OCTRNG,10,20
M3R0V1_CCC,26,4
M3R0V2_HEXRNG,17,13
M3R1V0_OCTRNG,21,9
M3R1V1_CCC,24,6
M3R1V2_HEXRNG,19,11
M4R0V0_QST,12,18
M4R0V1_OR,18,12
M4R0V2_DBB,15,15
M4R1V0_DBB,20,10
M4R1V1_OR,19,11
M4R1V2_QST,18,12
M5R0V0_CCC,25,5
M5R0V1_RNG,25,5
M5R0V2_OR,24,6
M5R1V0_CCC,26,4
M5R1V1_RNG,26,4
M5R1V2_OR,29,1
M6R0V0_OR,26,4
M6R0V1_CCC,15,15
M6R0V2_OCTCCC,9,21
M6R1V0_OR,14,16
M6R1V1_CCC,14,16
M6R1V2_OCTCCC,7,23
M7R0V0_WRD,20,10
M7R0V1_CCCRNG,17,13
M7R1V0_WRD,21,9
M7R1V1_CCCRNG,25,5
M7R2V0_WRD,21,9
M7R2V1_CCCRNG,25,5
M8R0V0_SEQKLE,16,14
M8R0V1_ADD,17,13
M8R1V0_SEQKLE,21,9
M8R1V1_ADD,15,15
M8R2V0_SEQKLE,20,10
M8R2V1_ADD,20,10
M9R0V0_CCC,22,8
M9R0V1_LIT,19,11
M9R1V0_CCC,22,8
M9R1V1_LIT,17,13
M9R2V0_CCC,20,10
M9R2V1_LIT,21,9
