code	value
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	NaN
M3R0V0_OCTRNG	0.8
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	0.5
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	NaN
M3R0V0_OCTRNG	0.4
M3R0V0_OCTRNG	0.75
M3R0V0_OCTRNG	0.5
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	0.4
M3R0V0_OCTRNG	NaN
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	0.4
M3R0V0_OCTRNG	1.0
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	0.6
M3R0V0_OCTRNG	0.8
M3R0V0_OCTRNG	0.4
M3R0V0_OCTRNG	0.8
M3R0V0_OCTRNG	NaN
M3R0V0_OCTRNG	1.0
M3R0V1_CCC	0.6
M3R0V1_CCC	0.3333333333
M3R0V1_CCC	1.0
M3R0V1_CCC	1.0
M3R0V1_CCC	0.6
M3R0V1_CCC	0.6
M3R0V1_CCC	0.5
M3R0V1_CCC	0.6
M3R0V1_CCC	NaN
M3R0V1_CCC	1.0
M3R0V1_CCC	1.0
M3R0V1_CCC	0.6
M3R0V1_CCC	1.0
M3R0V1_CCC	0.6
M3R0V1_CCC	0.5
M3R0V1_CCC	NaN
M3R0V1_CCC	0.6
M3R0V1_CCC	1.0
M3R0V1_CCC	0.8
M3R0V1_CCC	1.0
M3R0V1_CCC	1.0
M3R0V1_CCC	0.6
M3R0V1_CCC	1.0
M3R0V1_CCC	1.0
M3R0V1_CCC	0.6
M3R0V1_CCC	0.8
M3R0V1_CCC	NaN
M3R0V1_CCC	0.6
M3R0V1_CCC	1.0
M3R0V1_CCC	1.0
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	NaN
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.8
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	0.8
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.2
M3R0V2_HEXRNG	NaN
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.2
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	0.6
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	0.4
M3R0V2_HEXRNG	0.8
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
M3R0V2_HEXRNG	1.0
